"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030684","preribosome","13/1347","104/25856",0.125,2.39940608760208,3.35234123938873,0.00292172490677287,0.0188899640012147,0.0134286678883464,"Bysl/Dcaf13/Fcf1/Imp3/Ltv1/Mrto4/Noc4l/Riok3/Rps19/Rps3a1/Rps4x/Rrp1b/Utp3",13
"GO:0030017","sarcomere","23/1347","236/25856",0.0974576271186441,1.87072339033382,3.15021302557591,0.00300258329003732,0.0192224204744546,0.0136650075428943,"Actn1/Ankrd23/Arf1/Bag3/Dnajb4/Fkbp1a/Ggps1/Jup/Mtmr12/Myh7/Myom1/Myom3/Pdlim2/Pdlim5/Polr2m/Rpl17/Rpl7/Slc4a1/Sqstm1/Tmod1/Tmod3/Tnnt1/Tuft1",23
"GO:0031965","nuclear membrane","30/1347","338/25856",0.0887573964497041,1.70372029888905,3.05301111256168,0.00326920780216931,0.0207261426681219,0.0147339871308806,"Aqp1/Bcl2l1/Brap/Cst3/Ctdnep1/Cuedc2/Dtx2/Hpn/Itpr1/Itprip/Lbr/Lrpprc/Lrrk2/Mfsd10/Mtdh/Noc4l/Nr4a1/Nsmf/Nup153/Nup54/Rasa1/Sdcbp/Sephs1/Snca/Taf3/Tbc1d20/Tmem120a/Tmem38a/Tmem97/Tnrc18",30
"GO:0017053","transcription repressor complex","11/1347","83/25856",0.132530120481928,2.54394862299979,3.30280304877004,0.00379032801380252,0.0237988864712793,0.0169183669441995,"Dr1/Drap1/Hdac5/Hdgf/Hmgb1/Jun/Jund/Lin37/Max/Prdm16/Sp3",11
"GO:0030904","retromer complex","5/1347","21/25856",0.238095238095238,4.57029730971824,3.8370995799049,0.00384866866490428,0.0239350536969762,0.0170151667290505,"Dctn1/Rab7/Snx2/Snx5/Vps35",5
"GO:0030027","lamellipodium","22/1347","227/25856",0.0969162995594714,1.8603324732069,3.05215571496495,0.00390282481957465,0.0240428736526627,0.0170918147510668,"Ajuba/Baiap2/Cdc42bpa/Dnm2/Enah/Git1/Itsn1/Klhl2/Nckap1/Pabpc4/Phpt1/Piezo1/Plekhg5/Plekhh2/Ptpn13/Pxn/Rac3/Rapgef3/Rock1/Scyl3/Snx2/Tmod3",22
"GO:0043292","contractile muscle fiber","25/1347","270/25856",0.0925925925925926,1.77733784266821,3.01011971383281,0.00400751413319731,0.0244570722334378,0.0173862639718644,"Actn1/Ankrd23/Arf1/Bag3/Col6a1/Cst3/Dnajb4/Fkbp1a/Ggps1/Jup/Mtmr12/Myh7/Myom1/Myom3/Pdlim2/Pdlim5/Polr2m/Rpl17/Rpl7/Slc4a1/Sqstm1/Tmod1/Tmod3/Tnnt1/Tuft1",25
"GO:0070062","extracellular exosome","13/1347","109/25856",0.119266055045872,2.28934158817079,3.16235918889459,0.00440037748431061,0.0266059860856928,0.0189139032220368,"Ago2/Aqp1/Cd81/Fn1/Gprc5a/Gprc5c/Hspa8/Icam1/Plaa/Rab5b/Scnn1a/Scnn1b/Sdcbp",13
"GO:0030139","endocytic vesicle","24/1347","258/25856",0.0930232558139535,1.78560453030852,2.97306283376052,0.00447745043474061,0.0267485297348926,0.0190152359363063,"Ap2b1/Appl2/Clcn3/Dnm2/Ftl1/Inpp5b/Inpp5f/Itsn1/Lamp1/Lrrk2/Plekhg5/Rab10/Rab35/Rab43/Rab5b/Rab5c/Rab7/Rab8b/Rala/Slc48a1/Stx12/Vamp8/Vps9d1/Zdhhc5",24
"GO:0031253","cell projection membrane","34/1347","406/25856",0.083743842364532,1.60748388134918,2.89232542686905,0.00458719296414831,0.0267485297348926,0.0190152359363063,"Abca7/Appl2/Aqp1/Arhgef2/Atp8b1/B4galt1/Clasp2/Dnm2/Eef1a1/Eps8l1/Eps8l2/Erbb2/Gabre/Gnb1/Kank1/Kcnc3/Mapk8ip3/Mfsd10/Micall1/Mttp/Nckap1/Ninj1/Pde9a/Piezo1/Pik3cb/Pip5k1c/Plekho1/Psd/Rab35/Rapgef3/Scnn1a/Slc26a6/Slc9a5/Spry2",34
"GO:0016469","proton-transporting two-sector ATPase complex","8/1347","51/25856",0.156862745098039,3.01101940404967,3.37009924465283,0.00458780295606121,0.0267485297348926,0.0190152359363063,"Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3",8
"GO:0044232","organelle membrane contact site","8/1347","51/25856",0.156862745098039,3.01101940404967,3.37009924465283,0.00458780295606121,0.0267485297348926,0.0190152359363063,"Rmdn3/Stard3/Stard3nl/Stx17/Tmcc1/Tmem41b/Tmx1/Tmx2",8
"GO:0042641","actomyosin","13/1347","110/25856",0.118181818181818,2.26852939191469,3.1256134527222,0.00475819321023572,0.0274964616485303,0.0195469325171304,"Actn1/Afap1l1/Bag3/Cdc42bpa/Enah/Fhod1/Gas2l1/Klhl2/Myh7/Myo5c/Pdlim2/Pdlim5/Pxn",13
"GO:0005791","rough endoplasmic reticulum","9/1347","63/25856",0.142857142857143,2.74217838583095,3.24567656733332,0.00514708566911063,0.0293372972565161,0.0208555623279175,"Gnrh1/Lyz1/Rp9/Rpl18/Rps29/Sec61a2/Suco/Tmcc1/Tmem97",9
"GO:0030016","myofibril","24/1347","261/25856",0.0919540229885057,1.76508034030498,2.91234621611661,0.00516659905742627,0.0293372972565161,0.0208555623279175,"Actn1/Ankrd23/Arf1/Bag3/Col6a1/Dnajb4/Fkbp1a/Ggps1/Jup/Mtmr12/Myh7/Myom1/Myom3/Pdlim2/Pdlim5/Polr2m/Rpl17/Rpl7/Slc4a1/Sqstm1/Tmod1/Tmod3/Tnnt1/Tuft1",24
"GO:0044665","MLL1/2 complex","6/1347","32/25856",0.1875,3.59910913140312,3.44890332266656,0.0055780702200584,0.0314006883939495,0.0223224044196529,"E2f6/Ino80c/Kansl1/Kmt2b/Max/Mcrs1",6
"GO:0005801","cis-Golgi network","9/1347","64/25856",0.140625,2.69933184855234,3.19094226858323,0.00571889446059587,0.0319182742117017,0.022690350491433,"Gpr108/Kdelr2/Limk2/Map6/Rab43/Slc35c2/Tmed10/Tmem165/Trappc6b",9
"GO:0005665","RNA polymerase II, core complex","4/1347","15/25856",0.266666666666667,5.11873298688443,3.74065695850289,0.00630418319750258,0.034593543092178,0.0245921697487717,"Polr2a/Polr2b/Polr2m/Tuft1",4
"GO:0150005","enzyme activator complex","4/1347","15/25856",0.266666666666667,5.11873298688443,3.74065695850289,0.00630418319750258,0.034593543092178,0.0245921697487717,"Flcn/Fnip2/Lamtor3/Lamtor5",4
"GO:0000314","organellar small ribosomal subunit","6/1347","33/25856",0.181818181818182,3.4900452183303,3.35547594010116,0.00652275670110324,0.0352013233538877,0.0250242340599089,"Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7",6
"GO:0005763","mitochondrial small ribosomal subunit","6/1347","33/25856",0.181818181818182,3.4900452183303,3.35547594010116,0.00652275670110324,0.0352013233538877,0.0250242340599089,"Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7",6
"GO:0045171","intercellular bridge","12/1347","104/25856",0.115384615384615,2.21483638855577,2.91019609000271,0.00788942643615557,0.041978986531711,0.0298424003554196,"2900026A02Rik/Aamp/Dctn1/Esrra/Ift43/Klhl22/Nupr1/Rab35/Rfxank/Rmdn3/Rpgrip1/Unc119",12
