"gene","rho","p.value"
"Gas5",0.880952380952381,0.0038503204637324
"Myo5c",0.880952380952381,0.0038503204637324
"Ndufaf3",0.880952380952381,0.0038503204637324
"Nrde2",0.880952380952381,0.0038503204637324
"Nthl1",0.880952380952381,0.0038503204637324
"Pcx",0.880952380952381,0.0038503204637324
"Rhbdd3",0.880952380952381,0.0038503204637324
"Rpl5",0.880952380952381,0.0038503204637324
"Slc24a4",0.880952380952381,0.0038503204637324
"Snhg12",0.880952380952381,0.0038503204637324
"Tmem230",0.880952380952381,0.0038503204637324
"2410006H16Rik",0.857142857142857,0.00653001725471527
"9430038I01Rik",0.857142857142857,0.00653001725471527
"Aif1l",0.857142857142857,0.00653001725471527
"Api5",0.857142857142857,0.00653001725471527
"Bcas3",0.857142857142857,0.00653001725471527
"Chchd7",0.857142857142857,0.00653001725471527
"Clcn3",0.857142857142857,0.00653001725471527
"Commd4",0.857142857142857,0.00653001725471527
"Ctbs",0.857142857142857,0.00653001725471527
"Ctnnal1",0.857142857142857,0.00653001725471527
"Etohd2",0.857142857142857,0.00653001725471527
"Fam150a",0.857142857142857,0.00653001725471527
"Fndc3b",0.857142857142857,0.00653001725471527
"Fryl",0.857142857142857,0.00653001725471527
"Gng12",0.857142857142857,0.00653001725471527
"Hmgxb3",0.857142857142857,0.00653001725471527
"Lamp1",0.857142857142857,0.00653001725471527
"Lzts2",0.857142857142857,0.00653001725471527
"Ndufa7",0.857142857142857,0.00653001725471527
"Osgepl1",0.857142857142857,0.00653001725471527
"Pef1",0.857142857142857,0.00653001725471527
"Plod3",0.857142857142857,0.00653001725471527
"Ptpla",0.857142857142857,0.00653001725471527
"Snx15",0.857142857142857,0.00653001725471527
"Tmed6",0.857142857142857,0.00653001725471527
"Unc119",0.857142857142857,0.00653001725471527
"Usp3",0.857142857142857,0.00653001725471527
"Uvssa",0.857142857142857,0.00653001725471527
"Wbp5",0.857142857142857,0.00653001725471527
"Wdr45",0.857142857142857,0.00653001725471527
"Wls",0.857142857142857,0.00653001725471527
"0610009L18Rik",0.833333333333333,0.0101755401234568
"0610031J06Rik",0.833333333333333,0.0101755401234568
"1500012F01Rik",0.833333333333333,0.0101755401234568
"Arhgef28",0.833333333333333,0.0101755401234568
"Arl1",0.833333333333333,0.0101755401234568
"Atg13",0.833333333333333,0.0101755401234568
"Bmf",0.833333333333333,0.0101755401234568
"Ccnl1",0.833333333333333,0.0101755401234568
"Cd55",0.833333333333333,0.0101755401234568
"Col6a1",0.833333333333333,0.0101755401234568
"Cpt2",0.833333333333333,0.0101755401234568
"Dcxr",0.833333333333333,0.0101755401234568
"Eif4g3",0.833333333333333,0.0101755401234568
"Ell",0.833333333333333,0.0101755401234568
"Fam49b",0.833333333333333,0.0101755401234568
"Fbxl8",0.833333333333333,0.0101755401234568
"Gm17251",0.833333333333333,0.0101755401234568
"Lrrc28",0.833333333333333,0.0101755401234568
"Mapkapk5",0.833333333333333,0.0101755401234568
"Mff",0.833333333333333,0.0101755401234568
"Mir17hg",0.833333333333333,0.0101755401234568
"Mtif2",0.833333333333333,0.0101755401234568
"Myom1",0.833333333333333,0.0101755401234568
"Ndfip2",0.833333333333333,0.0101755401234568
"Nemf",0.833333333333333,0.0101755401234568
"Nfkbiz",0.833333333333333,0.0101755401234568
"Noxa1",0.833333333333333,0.0101755401234568
"Npc2",0.833333333333333,0.0101755401234568
"Pi4k2b",0.833333333333333,0.0101755401234568
"Pink1",0.833333333333333,0.0101755401234568
"Ptpn9",0.833333333333333,0.0101755401234568
"Rlim",0.833333333333333,0.0101755401234568
"Rpain",0.833333333333333,0.0101755401234568
"Rpl35a",0.833333333333333,0.0101755401234568
"Rps24",0.833333333333333,0.0101755401234568
"Rrn3",0.833333333333333,0.0101755401234568
"Sfta2",0.833333333333333,0.0101755401234568
"Slc25a1",0.833333333333333,0.0101755401234568
"Smyd5",0.833333333333333,0.0101755401234568
"Sod2",0.833333333333333,0.0101755401234568
"Svopl",0.833333333333333,0.0101755401234568
"Vnn1",0.833333333333333,0.0101755401234568
"Wdr82",0.833333333333333,0.0101755401234568
"Zcchc4",0.833333333333333,0.0101755401234568
"Zfand2b",0.833333333333333,0.0101755401234568
"Zfp593",0.833333333333333,0.0101755401234568
"4933439C10Rik",0.80952380952381,0.0149026676862301
"9430016H08Rik",0.80952380952381,0.0149026676862301
"Afg3l1",0.80952380952381,0.0149026676862301
"Cbl",0.80952380952381,0.0149026676862301
"Cdc25b",0.80952380952381,0.0149026676862301
"Cfl2",0.80952380952381,0.0149026676862301
"Coasy",0.80952380952381,0.0149026676862301
"Eif4g2",0.80952380952381,0.0149026676862301
"Exoc6",0.80952380952381,0.0149026676862301
"Gcdh",0.80952380952381,0.0149026676862301
"Get4",0.80952380952381,0.0149026676862301
"Gpx1",0.80952380952381,0.0149026676862301
"Gstz1",0.80952380952381,0.0149026676862301
"Gyk",0.80952380952381,0.0149026676862301
"Hmgcll1",0.80952380952381,0.0149026676862301
"Ints5",0.80952380952381,0.0149026676862301
"Josd1",0.80952380952381,0.0149026676862301
"Kdm3a",0.80952380952381,0.0149026676862301
