name	description	E16.5	E18.5	PND1	PND3	PND7	PND10	PND14	PND28
Fam150a	na	1.48984777003587	1.56405464864328	1.7331682988904	1.53464327073833	1.45698927703452	1.47910472500044	1.55622144252205	1.51332687642883
Fam160b1	na	4.89605131675916	5.24169229587192	5.40516317952633	5.38672857035748	5.20543567960412	4.76556594832201	4.85737849649924	5.35255208832163
Fam193b	na	4.54333033509112	4.07963442583142	5.57766736711475	5.35889520197575	5.24069486312923	5.10514779087342	5.00090913733626	5.11584335666202
Fam195b	na	6.02463981597448	6.25112296751317	6.46777523443424	6.34905098587273	5.76367657651303	6.34781149198788	6.11919420275196	6.70047340936832
Fam229a	na	0.815350739087663	0.849265363168404	1.08010692657809	0.878981776911745	0.732203092573399	0.769444966833698	0.539043424837385	0.619042196247268
Fam49b	na	4.31167931266953	4.7421391335788	4.95178719979945	4.84094994480085	4.49233558653094	4.68301710819982	4.45702253745065	4.57707877777751
Fam73b	na	1.96009962801324	2.21693970776144	2.35863470634863	1.97353457546451	2.24376498419981	2.14851832723548	1.64557418705663	2.15729491542141
Fam83h	na	2.19776357868994	1.96749284589326	2.72880325262172	2.46375497598007	2.51502962296938	2.24596857534177	2.14583472941871	2.70247339192495
Fam96a	na	4.86569729211749	5.65510448967515	5.64996778381568	5.67764346127148	5.79451426216579	5.59898447149791	5.54076773685717	5.59551035093091
Fam98c	na	4.17293463307509	4.43244615351937	4.62227304455346	4.48256786095285	4.23130911608063	4.43320578569483	4.41736046037118	4.57721663261364
Fancc	na	1.89693302703578	1.96673061531567	2.30034135167921	2.183778385079	2.30675902534341	1.96564306442323	1.59658037851173	1.89354158384698
Farsa	na	3.1115712532938	3.70935321105069	3.84112756150595	3.17270248483165	3.56133977534997	3.42305002471179	3.21068864432661	3.68917280642271
Fbxl20	na	4.05980833183622	3.56161353803608	4.33172292017519	4.00745780642836	3.65734622777291	3.73920708285512	3.54519987591303	3.6170633767251
