"gene","rho","p.value"
"Galnt11",0.570588235294118,0.0209906963682178
"Ggps1",0.570588235294118,0.0209906963682178
"Hsd3b7",0.570588235294118,0.0209906963682178
"Jpx",0.570588235294118,0.0209906963682178
"Klk14",0.570588235294118,0.0209906963682178
"Max",0.570588235294118,0.0209906963682178
"Pi4k2b",0.570588235294118,0.0209906963682178
"Rps20",0.570588235294118,0.0209906963682178
"2410006H16Rik",0.567647058823529,0.021814592143743
"Arhgef1",0.567647058823529,0.021814592143743
"Gosr2",0.567647058823529,0.021814592143743
"Herpud1",0.567647058823529,0.021814592143743
"Pex11b",0.567647058823529,0.021814592143743
"Rfxank",0.567647058823529,0.021814592143743
"Emc6",0.564705882352941,0.0226632048441846
"Ftl1",0.564705882352941,0.0226632048441846
"Gcat",0.564705882352941,0.0226632048441846
"Hbb-bt",0.564705882352941,0.0226632048441846
"Lzts2",0.564705882352941,0.0226632048441846
"Orai3",0.564705882352941,0.0226632048441846
"Pef1",0.564705882352941,0.0226632048441846
"Pvrl2",0.564705882352941,0.0226632048441846
"Rpl4",0.564705882352941,0.0226632048441846
"Bbip1",0.561764705882353,0.0235370164742809
"Lss",0.561764705882353,0.0235370164742809
"Mlf2",0.561764705882353,0.0235370164742809
"Rlim",0.561764705882353,0.0235370164742809
"Rpl23",0.561764705882353,0.0235370164742809
"Sdc1",0.561764705882353,0.0235370164742809
"Tmem123",0.561764705882353,0.0235370164742809
"0610037L13Rik",0.558823529411765,0.0244365114245058
"Gas5",0.558823529411765,0.0244365114245058
"Mrpl44",0.558823529411765,0.0244365114245058
"Phc1",0.558823529411765,0.0244365114245058
"Rpl17",0.558823529411765,0.0244365114245058
"Ypel3",0.558823529411765,0.0244365114245058
"1810058I24Rik",0.555882352941176,0.025362176320608
"B630005N14Rik",0.555882352941176,0.025362176320608
"Plekhf2",0.555882352941176,0.025362176320608
"Prkra",0.555882352941176,0.025362176320608
"Rit1",0.555882352941176,0.025362176320608
"Soat1",0.555882352941176,0.025362176320608
"Creg1",0.552941176470588,0.0263144998706665
"Dnajb11",0.552941176470588,0.0263144998706665
"Hbb-bs",0.552941176470588,0.0263144998706665
"Nt5dc2",0.552941176470588,0.0263144998706665
