"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043488","regulation of mRNA stability","21/1342","185/25730",0.113513513513514,2.17638055342973,3.76686768597623,0.000687445790581434,0.0113303471698016,0.00869358417907629,"Ago2/Alkbh5/Cirbp/Cnot6/Hnrnpa0/Mapkapk2/Nrde2/Pabpc4/Pan2/Pan3/Rbm47/Rock1/Samd4/Samd4b/Stat3/Taf15/Tnrc6c/Vegfa/Ythdf2/Zc3h14/Zfp36l1",21
"GO:0007179","transforming growth factor beta receptor signaling pathway","24/1342","224/25730",0.107142857142857,2.0542367468597,3.71741117190263,0.000688069372667669,0.0113303471698016,0.00869358417907629,"Acvr1/Appl2/Cited2/Dand5/Dnm2/Ep300/Flcn/Fos/Ints9/Jun/Nepn/Nkx2-1/Nlk/Prdm16/Pxn/Sdcbp/Spry2/Stat3/Suds3/Tgfbr2/Tgfbr3/Thbs1/Tnrc6c/Zfp451",24
"GO:0070534","protein K63-linked ubiquitination","13/1342","89/25730",0.146067415730337,2.80053249384618,3.99142621723025,0.000695881562177371,0.0114245780793504,0.00876588596578734,"Fbxw7/Plaa/Ripk2/Sqstm1/Tab2/Trim3/Trim65/Trim8/Ube2g1/Ube2o/Ube2v1/Zdhhc5/Zfp598",13
"GO:0042060","wound healing","38/1342","419/25730",0.0906921241050119,1.73882887721457,3.57680973883693,0.000699024213360866,0.0114418124983349,0.00877910964463616,"Ajuba/Aqp1/B4galt1/Baiap2/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clasp2/Cldn4/Elk3/Erbb2/F11r/F7/Fgl1/Fkbp10/Fn1/Gpx1/Hmgb1/Hps4/Kank1/Ndnf/Nfatc1/Notch2/Pdcd10/Pik3cb/Pip5k1c/Rab27a/Rreb1/Scnn1b/Slc4a1/Smoc2/Smpd1/Thbs1/Tmem97/Tmx1/Vegfa/Vegfb",38
"GO:0097468","programmed cell death in response to reactive oxygen species","6/1342","22/25730",0.272727272727273,5.22896626473378,4.65490726857658,0.00072115217580489,0.0117687729705234,0.00902998089735267,"Akt1/Ep300/Pawr/Pdcd10/Pink1/Stk25",6
"GO:0036010","protein localization to endosome","7/1342","30/25730",0.233333333333333,4.47367113760556,4.46562637377331,0.000729873009539177,0.0118128704569412,0.00906381615451764,"Abhd17a/Ankrd13a/Micall1/Rab35/Tollip/Vegfa/Vps35",7
"GO:0014044","Schwann cell development","9/1342","48/25730",0.1875,3.59491430700447,4.22113106039068,0.00073836191494654,0.0118128704569412,0.00906381615451764,"Akt1/Col6a1/Erbb2/Lamb2/Map2k1/Mapk1/Pi4ka/Pmp22/Slc25a46",9
"GO:0016925","protein sumoylation","9/1342","48/25730",0.1875,3.59491430700447,4.22113106039068,0.00073836191494654,0.0118128704569412,0.00906381615451764,"Cbx4/Egr1/Pias3/Rasd2/Sumo3/Tollip/Topors/Zfp451/Zmiz2",9
"GO:0042743","hydrogen peroxide metabolic process","9/1342","48/25730",0.1875,3.59491430700447,4.22113106039068,0.00073836191494654,0.0118128704569412,0.00906381615451764,"Cat/Gpx1/Hdac6/Pink1/Prdx1/Prdx6/Snca/Sod2/Stat3",9
"GO:0001836","release of cytochrome c from mitochondria","11/1342","68/25730",0.161764705882353,3.10149469623915,4.07040030830169,0.000738564956338445,0.0118128704569412,0.00906381615451764,"Akt1/Bad/Bax/Bbc3/Bcl2a1b/Bcl2l1/Gpx1/Jun/Pink1/Pycard/Sod2",11
"GO:0048308","organelle inheritance","5/1342","15/25730",0.333333333333333,6.39095876800795,4.89911905631965,0.000741140399987346,0.0118128704569412,0.00906381615451764,"Map2k1/Mapk1/Pdcd10/Stk25/Ywhaz",5
"GO:0048313","Golgi inheritance","5/1342","15/25730",0.333333333333333,6.39095876800795,4.89911905631965,0.000741140399987346,0.0118128704569412,0.00906381615451764,"Map2k1/Mapk1/Pdcd10/Stk25/Ywhaz",5
"GO:1903543","positive regulation of exosomal secretion","5/1342","15/25730",0.333333333333333,6.39095876800795,4.89911905631965,0.000741140399987346,0.0118128704569412,0.00906381615451764,"Atp13a2/Chmp2a/Rab7/Sdc1/Sdcbp",5
"GO:0030162","regulation of proteolysis","37/1342","406/25730",0.0911330049261084,1.74728183066227,3.56025336494221,0.000746373270253808,0.0118616938037139,0.00910127748458209,"Akt1/Anks1/Atg7/Bad/C2cd3/Cbx4/Cln3/Csnk1e/Cst3/Cyfip2/Ep300/Fadd/Fbxw7/Fbxw8/Gabarapl2/Glmn/Gpx1/Hdac6/Hpn/Hspa8/Inpp5b/Lrrk2/Nr1h2/Nr1h3/Nupr1/Prkaca/Ptpn1/Rpl5/Sh3rf2/Sumo3/Tank/Thbs1/Tmx1/Tspan5/Ubb/Usp19/Wac",37
"GO:0016311","dephosphorylation","14/1342","101/25730",0.138613861386139,2.65762641837954,3.91544505781594,0.000753600061378574,0.0119343759957254,0.0091570453039704,"Akap1/Chp1/Dusp1/Dusp8/Inpp5b/Inpp5e/Inpp5f/Mtmr3/Ppm1b/Ppp2ca/Ppp2r3c/Ptpn1/Ptpn12/Sgpp2",14
"GO:0009141","nucleoside triphosphate metabolic process","30/1342","307/25730",0.0977198697068404,1.87357097433458,3.61204874695783,0.00075531262017944,0.0119343759957254,0.0091570453039704,"Atp1b1/Bad/Bcl2l1/Bend3/Bpgm/Col6a1/Ctps2/Entpd3/Ep300/Flcn/Gale/Git1/Hspa8/Ier3/Khk/Ldhd/Lrrk2/Map2k1/Mlst8/Mttp/Myh7/Ndufb11/Ndufb2/Nudt2/Nupr1/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3",30
"GO:0033120","positive regulation of RNA splicing","10/1342","58/25730",0.172413793103448,3.30566832827997,4.12363860613462,0.000761671056297893,0.0120001604172351,0.00920752058045535,"Cirbp/Dazap1/Dyrk1a/Eif1/Eif4a3/Hspa8/Polr2a/Prdx6/U2af2/Upf3b",10
"GO:0042325","regulation of phosphorylation","25/1342","239/25730",0.104602510460251,2.00553099414475,3.6635370997936,0.000765173979612511,0.0120207073176483,0.00922328587040489,"Arhgef2/Brat1/Ccny/Chp1/Csf1r/Dnaja1/Emp2/Errfi1/Gadd45a/Glmn/Gprc5a/Gskip/Hipk3/Hmga2/Il34/Pdcd10/Ralbp1/Rap2c/Rictor/Ripk2/Sdcbp/Sema4d/Tab2/Thbs1/Vegfa",25
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","35/1342","378/25730",0.0925925925925926,1.77526632444665,3.56197055301947,0.000772581973545457,0.0121023084509255,0.00928589704291554,"Acvr1/Acvr2b/Appl2/Cited2/Dand5/Dnm2/Ecsit/Egr1/Ep300/Fkbp8/Flcn/Fos/Hivep1/Ints9/Jun/Nepn/Nkx2-1/Nlk/Notch2/Prdm16/Pxn/Sdcbp/Spry2/Stat3/Suds3/Tcf7l2/Tgfbr2/Tgfbr3/Tgif1/Tgif2/Thbs1/Tnrc6c/Ube2o/Zfp128/Zfp451",35
"GO:0030488","tRNA methylation","8/1342","39/25730",0.205128205128205,3.93289770338951,4.299701759714,0.000775459169230272,0.0121126722233769,0.00929384899062447,"Akt1/Alkbh8/Thada/Trdmt1/Trmt1/Trmt112/Tyw3/Wdr4",8
"GO:0170062","nutrient storage","15/1342","113/25730",0.132743362831858,2.54507207575538,3.86121024090122,0.000786951541178453,0.0122571626086114,0.0094047140248797,"Abhd5/Cds2/Fitm1/Lpl/Nfkbia/Npc1/Npc2/Nr1h2/Nr1h3/Plin2/Pnpla2/Rab40c/Soat1/Srebf2/Stard4",15
"GO:0009134","nucleoside diphosphate catabolic process","17/1342","137/25730",0.124087591240876,2.37911603772559,3.79664606157832,0.000796663265609046,0.012338124852931,0.00946683498867467,"Bpgm/Col6a1/Entpd3/Ep300/Flcn/Gale/Git1/Ier3/Khk/Mlst8/Mttp/Nupr1/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3",17
"GO:0009191","ribonucleoside diphosphate catabolic process","17/1342","137/25730",0.124087591240876,2.37911603772559,3.79664606157832,0.000796663265609046,0.012338124852931,0.00946683498867467,"Bpgm/Col6a1/Entpd3/Ep300/Flcn/Gale/Git1/Ier3/Khk/Mlst8/Mttp/Nupr1/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3",17
"GO:0009154","purine ribonucleotide catabolic process","19/1342","162/25730",0.117283950617284,2.24867067763243,3.73987132526048,0.000815054317109359,0.0125518364834841,0.00963081231632556,"Bpgm/Col6a1/Ep300/Flcn/Gale/Git1/Ier3/Khk/Mlst8/Mttp/Nupr1/Pde4a/Pde9a/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3/Xdh",19
"GO:2000377","regulation of reactive oxygen species metabolic process","19/1342","162/25730",0.117283950617284,2.24867067763243,3.73987132526048,0.000815054317109359,0.0125518364834841,0.00963081231632556,"Akt1/Clcn3/Dcxr/Gadd45a/Gnai2/Hdac6/Ier3/Lrrk2/Pink1/Pon3/Rab27a/Romo1/Shc1/Sirt5/Snca/Sod2/Stat3/Tgfbr2/Thbs1",19
"GO:1901264","carbohydrate derivative transport","13/1342","91/25730",0.142857142857143,2.73898232914626,3.89820740475403,0.000861989747846952,0.0132186156570517,0.0101424207240286,"Abcc5/Cln3/Lbp/Ralbp1/Slc25a26/Slc25a5/Slc35a4/Slc35a5/Slc35b2/Slc35b3/Slc35c2/Spns1/Vldlr",13
"GO:1903573","negative regulation of response to endoplasmic reticulum stress","9/1342","49/25730",0.183673469387755,3.52154870890234,4.14437508996941,0.000863187450076361,0.0132186156570517,0.0101424207240286,"Abca7/Akt1/Bcl2l1/Dnajb9/Lrrk2/Nr1h2/Nr1h3/Ptpn1/Txndc12",9
"GO:0009205","purine ribonucleoside triphosphate metabolic process","28/1342","282/25730",0.099290780141844,1.9036898457896,3.57945367957904,0.000871467512804115,0.0132710665529251,0.0101826654113016,"Atp1b1/Bad/Bcl2l1/Bend3/Bpgm/Col6a1/Ep300/Flcn/Gale/Git1/Hspa8/Ier3/Khk/Ldhd/Lrrk2/Map2k1/Mlst8/Mttp/Myh7/Ndufb11/Ndufb2/Nudt2/Nupr1/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3",28
