"gene","cluster"
"Aimp2",4
"Aip",9
"Airn",2
"Ajuba",6
"AK010878",8
"Ak1",4
"AK129341",7
"AK157302",2
"Ak2",5
"Ak3",4
"Ak4",3
"Ak5",5
"Ak7",2
"Ak8",2
"Ak9",13
"Akap1",6
"Akap10",6
"Akap11",15
"Akap12",1
"Akap13",13
"Akap14",2
"Akap17b",11
"Akap2",14
"Akap5",13
"Akap6",10
"Akap7",11
"Akap8",15
"Akap8l",6
"Akap9",13
"Akip1",9
"Akirin1",3
"Akirin2",11
"Akna",12
"Akr1a1",7
"Akr1b10",5
"Akr1b3",2
"Akr1b8",8
"Akr1c12",14
"Akr1c13",6
"Akr1c14",12
"Akr1c19",7
"Akr1e1",5
"Akr7a5",4
"Akt1",6
"Akt1s1",12
"Akt2",4
"Akt3",12
"Aktip",8
"Alad",3
"Alas1",4
"Alas2",6
"Alb",1
"Alcam",6
"Aldh16a1",4
"Aldh18a1",4
"Aldh1a1",4
"Aldh1a2",10
"Aldh1a7",2
"Aldh1b1",1
"Aldh1l1",8
"Aldh1l2",5
"Aldh2",13
"Aldh3a1",2
"Aldh3a2",15
"Aldh3b1",2
"Aldh3b2",10
"Aldh4a1",4
"Aldh5a1",8
"Aldh6a1",4
"Aldh7a1",2
"Aldh9a1",11
"Aldoa",4
"Aldoart1",2
"Aldoart2",3
"Aldoc",3
"Alg1",4
"Alg10b",5
"Alg11",15
"Alg12",4
"Alg13",11
"Alg14",4
"Alg2",12
"Alg3",11
"Alg5",15
"Alg6",9
"Alg8",4
"Alg9",5
"Alkbh1",4
"Alkbh2",8
"Alkbh3",11
"Alkbh4",3
"Alkbh5",6
"Alkbh6",3
"Alkbh7",2
"Alkbh8",9
"Alms1",7
"Alox12",1
"Alox15",2
"Alox5",10
"Alox5ap",7
"Alox8",5
"Alpk1",11
"Alpk3",4
"Alpl",14
"Als2",12
"Als2cl",6
"Alyref",8
"Alyref2",4
"Amacr",2
"Ambra1",11
"Amd1",6
"Amd2",1
